id_cliente;qtd_atendimentos;data_ultimo_atendimento;valor_total_atendimentos;qtd_produtos_vendidos;data_ultima_venda_produto;valor_total_venda_produtos;qtd_pacotes_vendidos;data_ultima_venda_pacote;valor_total_venda_pacotes;valor_total_vendas;valor_total_pendente_conta_aberta;valor_total_pendente_notas_abertas
11086319;0;;0;0;;0;0;;0;0;35.00;0
11105902;0;;0;0;;0;0;;0;0;1335.00;0
11134320;0;;0;0;;0;0;;0;0;550.00;0
11134930;0;;0;0;;0;0;;0;0;140.00;0
11139578;0;;0;0;;0;0;;0;0;225.00;0
11221349;0;;0;0;;0;0;;0;0;35.00;0
11237107;0;;0;0;;0;0;;0;0;115.00;0
11238989;0;;0;0;;0;0;;0;0;35.00;0
11257705;0;;0;0;;0;0;;0;0;230.00;0
11292796;0;;0;0;;0;0;;0;0;90.00;0
11297648;0;;0;0;;0;0;;0;0;45.00;0
11315552;0;;0;0;;0;0;;0;0;35.00;0
11391884;0;;0;0;;0;0;;0;0;105.00;0
11392008;0;;0;0;;0;0;;0;0;690.00;0
11416084;0;;0;0;;0;0;;0;0;495.00;0
11460758;0;;0;0;;0;0;;0;0;215.00;0
11463870;0;;0;0;;0;0;;0;0;35.00;0
11471977;0;;0;0;;0;0;;0;0;45.00;0
11519120;0;;0;0;;0;0;;0;0;60.00;0
11519519;0;;0;0;;0;0;;0;0;105.00;0
11542832;0;;0;0;;0;0;;0;0;445.00;0
11580342;0;;0;0;;0;0;;0;0;315.00;0
11635844;0;;0;0;;0;0;;0;0;35.00;0
11654347;0;;0;0;;0;0;;0;0;170.00;0
11655013;0;;0;0;;0;0;;0;0;105.00;0
11669244;0;;0;0;;0;0;;0;0;520.00;0
11669258;0;;0;0;;0;0;;0;0;170.00;0
11729757;0;;0;0;;0;0;;0;0;345.00;0
11733485;0;;0;0;;0;0;;0;0;165.00;0
11743593;0;;0;0;;0;0;;0;0;80.00;0
11751436;0;;0;0;;0;0;;0;0;445.00;0
11762787;0;;0;0;;0;0;;0;0;35.00;0
11762825;0;;0;0;;0;0;;0;0;345.00;0
11781499;0;;0;0;;0;0;;0;0;45.00;0
11800919;0;;0;0;;0;0;;0;0;656.00;0
11801382;0;;0;0;;0;0;;0;0;35.00;0
12009039;0;;0;0;;0;0;;0;0;45.00;0
12036215;0;;0;0;;0;0;;0;0;90.00;0
12036246;0;;0;0;;0;0;;0;0;90.00;0
12077775;0;;0;0;;0;0;;0;0;60.00;0
